Colocação	Prêmio	porcentagem
1	50,0	10
2	37,5	7,5
3	30,0	6
4	20,0	4
5	20,0	4
6	15,0	3
7	15,0	3
8	15,0	3
9	10,0	2
10	10,0	2
11	10,0	2
12	10,0	2
13	7,5	1,5
14	7,5	1,5
15	7,5	1,5
16	7,5	1,5
17	7,5	1,5
18	7,5	1,5
19	7,5	1,5
20	7,5	1,5
21	5,0	1
22	5,0	1
23	5,0	1
24	5,0	1
25	5,0	1
26	5,0	1
27	5,0	1
28	5,0	1
29	5,0	1
30	5,0	1
31	5,0	1
32	5,0	1
33	5,0	1
34	5,0	1
35	5,0	1
36	3,0	0,6
37	3,0	0,6
38	3,0	0,6
39	3,0	0,6
40	3,0	0,6
41	3,0	0,6
42	3,0	0,6
43	3,0	0,6
44	3,0	0,6
45	3,0	0,6
46	3,0	0,6
47	3,0	0,6
48	3,0	0,6
49	3,0	0,6
50	3,0	0,6
51	2,0	0,4
52	2,0	0,4
53	2,0	0,4
54	2,0	0,4
55	2,0	0,4
56	2,0	0,4
57	2,0	0,4
58	2,0	0,4
59	2,0	0,4
60	2,0	0,4
61	2,0	0,4
62	2,0	0,4
63	2,0	0,4
64	2,0	0,4
65	2,0	0,4
66	2,0	0,4
67	2,0	0,4
68	2,0	0,4
69	2,0	0,4
70	2,0	0,4
71	2,0	0,4
72	2,0	0,4
73	2,0	0,4
74	2,0	0,4
75	2,0	0,4
